,line_name,start_stop,end_stop,bounds,distance,station_name,station_coords,station_sequence
17,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,金宝生态花园,"119.127106,36.66412",18
18,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,潍州路金宝街路口,"119.125183,36.667397",19
19,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,潍州路宝通街路口,"119.121994,36.672787",20
20,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,北王村,"119.119896,36.676292",21
21,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,潍州路健康街路口,"119.119431,36.688221",22
22,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,潍州路健康街路口北,"119.119484,36.692055",23
23,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,潍州路幸福街路口,"119.119858,36.696701",24
24,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,潍州路民生街路口,"119.120232,36.700943",25
25,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,潍州路行政街路口,"119.120384,36.703121",26
26,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,东苑公园,"119.118721,36.706905",27
27,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,风筝广场,"119.114265,36.706921",28
28,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,青年路胜利街路口,"119.109993,36.705624",29
29,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,潍坊市妇幼保健院,"119.108444,36.703373",30
30,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,人民公园,"119.106453,36.700096",31
31,2路/K2路(坊子汽车南站--火车站),坊子汽车南站,火车站,"119.098526,36.593880;119.156944,36.706966",17.57898,火车站,"119.098572,36.699665",32
0,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,文家村,"118.981117,36.734005",1
1,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,卧龙街殷大路路口,"118.992897,36.73391",2
2,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,小庄,"118.998001,36.733852",3
3,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,卧龙街腾飞路路口,"119.006233,36.733727",4
4,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,潍城经济开发区中学,"119.014549,36.733582",5
5,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,潍城经济开发区人民医院,"119.02079,36.733562",6
6,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,潍城政务服务中心,"119.024147,36.733562",7
7,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,考家村,"119.026711,36.733582",8
8,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,潍城区政府,"119.02935,36.728821",9
9,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,彩虹路北宫街路口,"119.02919,36.722683",10
10,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,豪德广场客运站,"119.030289,36.717224",11
11,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,豪德广场,"119.035782,36.717239",12
12,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,北小圩河,"119.040924,36.717083",13
13,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,亿家安蔬果市场,"119.049355,36.716652",14
14,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,中天棉麻,"119.054268,36.716404",15
15,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,东风街长松路路口西,"119.060486,36.71608",16
16,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,东风街长松路路口,"119.063263,36.715927",17
17,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,东风街三里庄路路口,"119.069016,36.71563",18
18,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,东风街清平路路口,"119.075058,36.715069",19
19,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,东风街安顺路路口,"119.082397,36.713772",20
20,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,公交国旅,"119.087997,36.713795",21
21,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,东风街永安路路口,"119.091057,36.713692",22
22,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,东风街月河路路口,"119.094658,36.713512",23
23,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,郭味蕖美术馆,"119.098061,36.713299",24
24,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,东风街向阳路路口,"119.104462,36.712891",25
25,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,潍州剧场,"119.10759,36.712734",26
26,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,亚星桥,"119.108978,36.711868",27
27,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,和平路胜利街路口南,"119.106979,36.707054",28
28,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,人民路小商品城,"119.103928,36.703804",29
29,3路/K3路(文家村--火车站),文家村,火车站,"118.981117,36.698692;119.109138,36.734005",15.29233,火车站,"119.098663,36.699821",30
0,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,杨家埠民俗大观园,"119.222786,36.758595",1
1,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,杨家埠,"119.222122,36.763882",2
2,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,渤海路通亭街路口,"119.221428,36.769402",3
3,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,益新街渤海路路口,"119.220619,36.771721",4
4,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,寒亭农行,"119.216507,36.771385",5
5,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,寒亭实验小学,"119.210648,36.770916",6
6,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,益新街幸福路路口西,"119.204109,36.77037",7
7,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,北平旺村,"119.20018,36.770035",8
8,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,化纤厂宿舍,"119.195557,36.772877",9
9,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,民主街海龙路路口,"119.187149,36.772182",10
10,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,民主街白云路路口,"119.183327,36.77187",11
11,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,龙润世家小区,"119.175552,36.768024",12
12,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,东寺庄,"119.171371,36.767673",13
13,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,亚星路益新街路口,"119.168434,36.76635",14
14,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,西寺庄,"119.16893,36.762486",15
15,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,亚星路泰祥街路口,"119.169563,36.75779",16
16,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,亚星路通亭街路口,"119.170006,36.754284",17
17,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,通亭街亚星路路口,"119.169939,36.752148",18
18,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,青银高速潍坊收费站,"119.162852,36.747109",19
19,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,通亭街北海路路口东,"119.157539,36.743313",20
20,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,中国海关,"119.155441,36.740074",21
21,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,北海路玉清街路口,"119.155602,36.73711",22
22,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,北海路卧龙街路口,"119.155777,36.733891",23
23,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,北海路桐荫街路口,"119.155983,36.73016",24
24,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,北宫街北海路路口西,"119.15493,36.726406",25
25,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,潍坊广电数码广场,"119.149811,36.726139",26
26,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,新华路新元巷路口,"119.147636,36.723324",27
27,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,新华路福寿街路口北,"119.147797,36.721363",28
28,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,奎文区市场监督管理局,"119.148087,36.717751",29
29,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,新华路东风街路口北,"119.148331,36.714901",30
30,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,东风街新华路路口,"119.147156,36.71291",31
31,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,东风街文化路路口,"119.14344,36.712959",32
32,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,早春园,"119.13736,36.713032",33
33,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,第二人民医院,"119.134384,36.709797",34
34,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,虞河路胜利街路口,"119.134285,36.704746",35
35,4路(杨家埠民俗大观园--人民医院东门),杨家埠民俗大观园,人民医院东门,"119.133644,36.698196;119.222786,36.773060",17.27368,人民医院东门,"119.133644,36.698196",36
0,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,公交寒亭枢纽站,"119.235352,36.772682",1
1,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,寒亭运管所,"119.234116,36.776039",2
2,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,寒亭一村,"119.227028,36.775463",3
3,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,民主街渤海路路口,"119.218681,36.774784",4
4,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,寒亭区交通运输局,"119.213333,36.774353",5
5,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,寒亭电影院,"119.20829,36.773941",6
6,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,民主街幸福路路口,"119.203461,36.773533",7
7,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,化纤厂宿舍,"119.195557,36.772877",8
8,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,民主街海龙路路口,"119.18718,36.772186",9
9,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,海龙路帝都街路口,"119.185493,36.766262",10
10,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,海龙路通亭街路口,"119.185219,36.761143",11
11,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,通亭街白云路路口,"119.18,36.757736",12
12,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,欧洲小镇,"119.176773,36.756523",13
13,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,通亭街亚星路路口,"119.169029,36.751591",14
14,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,青银高速潍坊收费站,"119.16291,36.74715",15
15,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,通亭街北海路路口东,"119.157449,36.743243",16
16,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,通亭街北海路路口西,"119.153587,36.74036",17
17,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,十里堡,"119.148643,36.735828",18
18,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,通亭街新华路路口,"119.145981,36.732014",19
19,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,新华医院,"119.143837,36.730217",20
20,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,文化路通亭街路口南,"119.140915,36.727055",21
21,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,北宫街文化路路口西,"119.139244,36.72533",22
22,5路/K5路(公交寒亭枢纽站--火车站),公交寒亭枢纽站,火车站,"119.098533,36.698689;119.235352,36.776115",18.25028,北宫街虞河路路口,"119.133156,36.725025",23
